Area,Subzone,Population
Ang Mo Kio,Ang Mo Kio Town Centre,5020
Ang Mo Kio,Cheng San,29770
Ang Mo Kio,Chong Boon,27900
Ang Mo Kio,Kebun Bahru,23910
Ang Mo Kio,Sembawang Hills,6890
Ang Mo Kio,Shangri-la,18510
Ang Mo Kio,Tagore,8350
Ang Mo Kio,Townsville,23770
Ang Mo Kio,Yio Chu Kang,30
Ang Mo Kio,Yio Chu Kang East,4080
Ang Mo Kio,Yio Chu Kang North,-
Ang Mo Kio,Yio Chu Kang West,26550
Bedok,Bayshore,7480
Bedok,Bedok North,85930
Bedok,Bedok Reservoir,25400
Bedok,Bedok South,51190
Bedok,Frankel,33570
Bedok,Kaki Bukit,40820
Bedok,Kembangan,38440
Bedok,Siglap,6930
Bishan,Bishan East,28820
Bishan,Marymount,31540
Bishan,Upper Thomson,30340
Boon Lay,Liu Fang,10
Boon Lay,Samulun,10
Boon Lay,Shipyard,-
Boon Lay,Tukang,10
Bukit Batok,Brickworks,-
Bukit Batok,Bukit Batok Central,26060
Bukit Batok,Bukit Batok East,14570
Bukit Batok,Bukit Batok South,13940
Bukit Batok,Bukit Batok West,15190
Bukit Batok,Gombak,9820
Bukit Batok,Guilin,13130
Bukit Batok,Hillview,18220
Bukit Batok,Hong Kah North,28340
Bukit Merah,Alexandra Hill,15650
Bukit Merah,Alexandra North,1000
Bukit Merah,Bukit Ho Swee,16290
Bukit Merah,Bukit Merah,1190
Bukit Merah,City Terminals,40
Bukit Merah,Depot Road,5200
Bukit Merah,Everton Park,9010
Bukit Merah,Henderson Hill,12870
Bukit Merah,Kampong Tiong Bahru,10460
Bukit Merah,Maritime Square,2560
Bukit Merah,Redhill,12210
Bukit Merah,Singapore General Hospital,10
Bukit Merah,Telok Blangah Drive,16000
Bukit Merah,Telok Blangah Rise,13820
Bukit Merah,Telok Blangah Way,10690
Bukit Merah,Tiong Bahru,12190
Bukit Merah,Tiong Bahru Station,16670
Bukit Panjang,Bangkit,23800
Bukit Panjang,Dairy Farm,5390
Bukit Panjang,Fajar,26770
Bukit Panjang,Jelebu,33470
Bukit Panjang,Nature Reserve,3870
Bukit Panjang,Saujana,25530
Bukit Panjang,Senja,20200
Bukit Timah,Anak Bukit,21990
Bukit Timah,Coronation Road,6170
Bukit Timah,Farrer Court,4680
Bukit Timah,Hillcrest,8810
Bukit Timah,Holland Road,10280
Bukit Timah,Leedon Park,6260
Bukit Timah,Swiss Club,5550
Bukit Timah,Ulu Pandan,10730
Central Water Catchment,Central Water Catchment,10
Changi,Changi Airport,-
Changi,Changi Point,790
Changi,Changi West,1740
Changi Bay,Changi Bay,-
Choa Chu Kang,Choa Chu Kang Central,21400
Choa Chu Kang,Choa Chu Kang North,34380
Choa Chu Kang,Keat Hong,15660
Choa Chu Kang,Peng Siang,32130
Choa Chu Kang,Teck Whye,27040
Choa Chu Kang,Yew Tee,43710
Clementi,Clementi Central,13490
Clementi,Clementi North,28730
Clementi,Clementi West,16470
Clementi,Clementi Woods,16400
Clementi,Faber,4320
Clementi,Pandan,10
Clementi,Sunset Way,6290
Clementi,Toh Tuck,40
Clementi,West Coast,5890
Downtown Core,Anson,80
Downtown Core,Bayfront Subzone,-
Downtown Core,Bugis,2330
Downtown Core,Cecil,160
Downtown Core,Central Subzone,480
Downtown Core,City Hall,60
Downtown Core,Clifford Pier,-
Downtown Core,Marina Centre,20
Downtown Core,Maxwell,-
Downtown Core,Philip,-
Downtown Core,Raffles Place,60
Downtown Core,Tanjong Pagar,520
Geylang,Aljunied,41710
Geylang,Geylang East,33380
Geylang,Kallang Way,40
Geylang,Kampong Ubi,13210
Geylang,Macpherson,28630
Hougang,Defu Industrial Park,20
Hougang,Hougang Central,4830
Hougang,Hougang East,21940
Hougang,Hougang West,50120
Hougang,Kangkar,26080
Hougang,Kovan,25640
Hougang,Lorong Ah Soo,34180
Hougang,Lorong Halus,-
Hougang,Tai Seng,14700
Hougang,Trafalgar,44800
Jurong East,International Business Park,10
Jurong East,Jurong Gateway,20
Jurong East,Jurong Port,10
Jurong East,Jurong River,10
Jurong East,Lakeside,1010
Jurong East,Penjuru Crescent,10
Jurong East,Teban Gardens,19080
Jurong East,Toh Guan,16510
Jurong East,Yuhua East,27460
Jurong East,Yuhua West,20870
Jurong West,Boon Lay Place,31100
Jurong West,Chin Bee,-
Jurong West,Hong Kah,56870
Jurong West,Jurong West Central,68200
Jurong West,Kian Teck,50
Jurong West,Safti,-
Jurong West,Taman Jurong,36940
Jurong West,Wenya,8610
Jurong West,Yunnan,70890
Kallang,Bendemeer,33830
Kallang,Boon Keng,10970
Kallang,Crawford,9740
Kallang,Geylang Bahru,12870
Kallang,Kallang Bahru,30
Kallang,Kampong Bugis,890
Kallang,Kampong Java,11260
Kallang,Lavender,10320
Kallang,Tanjong Rhu,11310
Lim Chu Kang,Lim Chu Kang,90
Mandai,Mandai East,-
Mandai,Mandai Estate,2120
Mandai,Mandai West,-
Marina East,Marina East,-
Marina South,Marina South,-
Marine Parade,East Coast,-
Marine Parade,Katong,9620
Marine Parade,Marina East (MP),-
Marine Parade,Marine Parade,28910
Marine Parade,Mountbatten,10210
Museum,Bras Basah,10
Museum,Dhoby Ghaut,210
Museum,Fort Canning,160
Newton,Cairnhill,3330
Newton,Goodwood Park,910
Newton,Istana Negara,40
Newton,Monk's Hill,980
Newton,Newton Circus,230
Newton,Orange Grove,1440
North-Eastern Islands,North-Eastern Islands,60
Novena,Balestier,32340
Novena,Dunearn,3900
Novena,Malcolm,2630
Novena,Moulmein,8470
Novena,Mount Pleasant,650
Orchard,Boulevard,400
Orchard,Somerset,130
Orchard,Tanglin,390
Outram,China Square,1590
Outram,Chinatown,11880
Outram,Pearl's Hill,8230
Outram,People's Park,390
Pasir Ris,Flora Drive,12950
Pasir Ris,Loyang East,2190
Pasir Ris,Loyang West,200
Pasir Ris,Pasir Ris Central,25730
Pasir Ris,Pasir Ris Drive,59480
Pasir Ris,Pasir Ris Park,2980
Pasir Ris,Pasir Ris Wafer Fab Park,20
Pasir Ris,Pasir Ris West,36330
Paya Lebar,Airport Road,-
Paya Lebar,Paya Lebar East,10
Paya Lebar,Paya Lebar North,20
Paya Lebar,Paya Lebar West,-
Paya Lebar,Paya Lebar,-
Pioneer,Benoi Sector,-
Pioneer,Gul Basin,20
Pioneer,Gul Circle,30
Pioneer,Joo Koon,40
Pioneer,Pioneer Sector,-
Punggol,Coney Island,-
Punggol,Matilda,30440
Punggol,Northshore,280
Punggol,Punggol Canal,-
Punggol,Punggol Field,43300
Punggol,Punggol Town Centre,7390
Punggol,Waterway East,28340
Queenstown,Commonwealth,8130
Queenstown,Dover,13200
Queenstown,Ghim Moh,11900
Queenstown,Holland Drive,14230
Queenstown,Kent Ridge,1080
Queenstown,Margaret Drive,10520
Queenstown,Mei Chin,16750
Queenstown,National University of S'pore,360
Queenstown,One North,620
Queenstown,Pasir Panjang 1,4010
Queenstown,Pasir Panjang 2,3520
Queenstown,Port,140
Queenstown,Queensway,280
Queenstown,Singapore Polytechnic,160
Queenstown,Tanglin Halt,13160
River Valley,Institution Hill,3380
River Valley,Leonie Hill,2450
River Valley,One Tree Hill,1840
River Valley,Oxley,1380
River Valley,Paterson,150
Rochor,Bencoolen,1460
Rochor,Farrer Park,3130
Rochor,Kampong Glam,170
Rochor,Little India,3850
Rochor,Mackenzie,110
Rochor,Mount Emily,1110
Rochor,Rochor Canal,10
Rochor,Selegie,270
Rochor,Sungei Road,2420
Rochor,Victoria,2060
Seletar,Pulau Punggol Barat,-
Seletar,Pulau Punggol Timor,-
Seletar,Seletar,260
Seletar,Seletar Aerospace Park,20
Sembawang,Admiralty,14410
Sembawang,Sembawang Central,29140
Sembawang,Sembawang East,90
Sembawang,Sembawang North,26860
Sembawang,Sembawang Springs,4290
Sembawang,Sembawang Straits,1700
Sembawang,Senoko North,20
Sembawang,Senoko South,20
Sembawang,The Wharves,-
Sengkang,Anchorvale,38040
Sengkang,Compassvale,18510
Sengkang,Fernvale,35590
Sengkang,Lorong Halus North,-
Sengkang,Rivervale,59860
Sengkang,Sengkang Town Centre,54680
Sengkang,Sengkang West,10
Serangoon,Lorong Chuan,8390
Serangoon,Seletar Hills,13580
Serangoon,Serangoon Central,26480
Serangoon,Serangoon Garden,39180
Serangoon,Serangoon North,17490
Serangoon,Serangoon North Ind Estate,20
Serangoon,Upper Paya Lebar,15540
Simpang,Pulau Seletar,-
Simpang,Simpang North,-
Simpang,Simpang South,-
Simpang,Tanjong Irau,-
Singapore River,Boat Quay,180
Singapore River,Clarke Quay,130
Singapore River,Robertson Quay,2420
Southern Islands,Sentosa,1470
Southern Islands,Southern Group,-
Straits View,Straits View,-
Sungei Kadut,Gali Batu,130
Sungei Kadut,Kranji,20
Sungei Kadut,Pang Sua,20
Sungei Kadut,Reservoir View,20
Sungei Kadut,Turf Club,660
Tampines,Simei,42710
Tampines,Tampines East,138500
Tampines,Tampines North,-
Tampines,Tampines West,78110
Tampines,Xilin,1920
Tanglin,Chatsworth,5740
Tanglin,Nassim,8340
Tanglin,Ridout,1400
Tanglin,Tyersall,3520
Tengah,Tengah,10
Toa Payoh,Bidadari,10
Toa Payoh,Boon Teck,15110
Toa Payoh,Braddell,10760
Toa Payoh,Joo Seng,6720
Toa Payoh,Kim Keat,8610
Toa Payoh,Lorong 8 Toa Payoh,8220
Toa Payoh,Pei Chun,11780
Toa Payoh,Potong Pasir,12650
Toa Payoh,Sennett,4540
Toa Payoh,Toa Payoh Central,30740
Toa Payoh,Toa Payoh West,13360
Toa Payoh,Woodleigh,2440
Tua,Tengeh,-
Tua,Tuas Bay,20
Tua,Tuas North,20
Tua,Tuas Promenade,10
Tua,Tuas View,10
Tua,Tuas View Extension,-
Western Islands,Jurong Island And Bukom,-
Western Islands,Semakau,-
Western Islands,Sudong,-
Western Water Catchment,Western Water Catchment,900
Woodlands,Greenwood Park,70
Woodlands,Midview,35510
Woodlands,North Coast,14610
Woodlands,Senoko West,20
Woodlands,Woodgrove,35850
Woodlands,Woodlands East,95510
Woodlands,Woodlands Regional Centre,-
Woodlands,Woodlands South,35840
Woodlands,Woodlands West,32890
Yishun,Khatib,10850
Yishun,Lower Seletar,2870
Yishun,Nee Soon,900
Yishun,Northland,30830
Yishun,Springleaf,3880
Yishun,Yishun Central,1490
Yishun,Yishun East,54880
Yishun,Yishun South,38840
Yishun,Yishun West,57890
